fighter,date_of_birth,tuf,r2ufc,dwcs,pride,sf,wec,bmf,hof,country,gender,weightclass,current_rank,rank_flag,current_p4p,p4p_flag,peak_rank,peak_p4p,bouts,wins,win_types,losses,loss_types,streak,best_streak,bonus,slot,elo,peak_elo,opp_elo,debut,debut_result,prev_bout,prev_result,next_date,next_opp
Melissa Gatto,1996-05-02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,female,"women's flyweight, women's bantamweight",16,NA,16,NA,16,16,6,3,3 KO 0 Sub 0 Dec,3,0 KO 0 Sub 3 Dec,-1,2,1,9.3,2563,2696,2583,2021-08-07,W - Victoria Leonardo,2026-04-04,L - Dione Barbosa,NA,NA
Christian Edwards,1998-11-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,NA,,16,NA,16,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,-1,-1,0,4,2563,2563,2864,2026-05-16,L - Modestas Bukauskas,2026-05-16,L - Modestas Bukauskas,NA,NA
Alvin Hines,1991-10-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,heavyweight,16,NA,16,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,-1,-1,0,11,2562,2562,2632,2025-06-28,L - Jhonata Diniz,2025-06-28,L - Jhonata Diniz,2026-07-18,Allen Frye Jr.
Guilherme Pat,1994-04-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,heavyweight,16,NA,16,NA,16,16,2,1,0 KO 0 Sub 1 Dec,1,0 KO 0 Sub 1 Dec,-1,1,0,9,2561,2631,2602,2025-12-13,W - Allen Frye Jr.,2026-04-04,L - Thomas Petersen,2026-08-08,Steven Asplund
Kurtis Campbell,2002-07-29,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"United Kingdom, England",male,featherweight,16,NA,16,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,1 KO 0 Sub 0 Dec,-1,-1,0,6,2557,2557,2639,2026-03-21,L - Danny Silva,2026-03-21,L - Danny Silva,NA,NA
Luke Fernandez,1995-06-29,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,light heavyweight,16,NA,16,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,1 KO 0 Sub 0 Dec,-1,-1,0,12,2557,2557,2685,2026-03-07,L - Rodolfo Bellato,2026-03-07,L - Rodolfo Bellato,NA,NA
Kyle Prepolec,1989-08-30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Canada,male,lightweight,16,NA,16,NA,16,16,4,0,0 KO 0 Sub 0 Dec,4,1 KO 1 Sub 2 Dec,-4,-1,1,8.2,2556,2647,2756,2019-05-04,L - Nordine Taleb,2025-10-18,L - Drew Dober,NA,NA
Jamie Siraj,1994-06-28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Canada,male,bantamweight,16,NA,16,NA,16,16,1,0,0 KO 0 Sub 0 Dec,1,1 KO 0 Sub 0 Dec,-1,-1,0,12,2556,2556,2538,2026-04-18,L - John Yannis,2026-04-18,L - John Yannis,NA,NA
Andrey Pulyaev,1997-09-10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Russia,male,middleweight,16,NA,16,NA,16,16,3,1,1 KO 0 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,-1,1,0,8.7,2555,2611,2758,2025-03-22,L - Christian Leroy Duncan,2026-01-24,L - Ateba Gautier,2026-06-27,Nursulton Ruziboev
Farman Hasanov,1995-08-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Azerbaijan,male,welterweight,16,NA,16,NA,16,16,0,NA,NA,NA,NA,NA,NA,0,NA,2555,NA,2587,NA,NA,NA,NA,2026-06-27,Eric Nolan
